Configuration,Agent Role,Average Reward,Total Wins,Total Draws,Total Losses,Average Time (ms),S,R,D_mcts,D_minimax,agent_1_type,agent_2_type,matchup,Total Games
"MCTS(S=50,R=1,D=1) vs MiniMax(D=1)",O,-1.0,0,0,50,3.204638957977295,50,1,1,1,MCTS,MiniMax,MCTS vs MiniMax,50
"MCTS(S=50,R=1,D=1) vs MiniMax(D=2)",X,-0.44,0,28,22,37.31442523002624,50,1,1,2,MCTS,MiniMax,MCTS vs MiniMax,50
"MCTS(S=50,R=1,D=1) vs MiniMax(D=2)",O,0.44,22,28,0,12.708127498626707,50,1,1,2,MCTS,MiniMax,MCTS vs MiniMax,50
"MCTS(S=50,R=1,D=1) vs MiniMax(D=3)",X,-0.52,9,6,35,39.806365728378296,50,1,1,3,MCTS,MiniMax,MCTS vs MiniMax,50
"MCTS(S=50,R=1,D=1) vs MiniMax(D=3)",O,0.52,35,6,9,67.33677387237549,50,1,1,3,MCTS,MiniMax,MCTS vs MiniMax,50
"MCTS(S=50,R=1,D=2) vs MiniMax(D=1)",X,1.0,50,0,0,39.593473275502525,50,1,2,1,MCTS,MiniMax,MCTS vs MiniMax,50
"MCTS(S=50,R=1,D=2) vs MiniMax(D=1)",O,-1.0,0,0,50,4.206910530726115,50,1,2,1,MCTS,MiniMax,MCTS vs MiniMax,50
"MCTS(S=50,R=1,D=2) vs MiniMax(D=2)",X,-0.2,2,36,12,35.68213939666748,50,1,2,2,MCTS,MiniMax,MCTS vs MiniMax,50
"MCTS(S=50,R=1,D=2) vs MiniMax(D=2)",O,0.2,12,36,2,13.303539355595907,50,1,2,2,MCTS,MiniMax,MCTS vs MiniMax,50
"MCTS(S=50,R=1,D=2) vs MiniMax(D=3)",X,-0.5,8,9,33,37.99079497655233,50,1,2,3,MCTS,MiniMax,MCTS vs MiniMax,50
"MCTS(S=50,R=1,D=2) vs MiniMax(D=3)",O,0.5,33,9,8,69.55807844797769,50,1,2,3,MCTS,MiniMax,MCTS vs MiniMax,50
"MCTS(S=50,R=1,D=3) vs MiniMax(D=1)",X,1.0,50,0,0,39.090292851130165,50,1,3,1,MCTS,MiniMax,MCTS vs MiniMax,50
"MCTS(S=50,R=1,D=3) vs MiniMax(D=1)",O,-1.0,0,0,50,3.424862225850424,50,1,3,1,MCTS,MiniMax,MCTS vs MiniMax,50
