Configuration,Agent Role,Average Reward,Total Wins,Total Draws,Total Losses,Average Time (ms),S,R,D_mcts,D_minimax,agent_1_type,agent_2_type,matchup,Total Games
"MiniMax(D=2) vs MCTS(S=30,R=3,D=3)",White,0.1,1,9,0,217.0437346185957,30,3,3,2,MiniMax,MCTS,MiniMax vs MCTS,10
"MiniMax(D=2) vs MCTS(S=50,R=2,D=2)",Black,0.0,0,10,0,188.80393346150717,50,2,2,2,MiniMax,MCTS,MiniMax vs MCTS,10
"MiniMax(D=2) vs MCTS(S=50,R=2,D=2)",White,0.0,0,10,0,214.70768610636392,50,2,2,2,MiniMax,MCTS,MiniMax vs MCTS,10
"MiniMax(D=2) vs MCTS(S=50,R=2,D=3)",Black,-0.1,0,9,1,184.07903989156088,50,2,3,2,MiniMax,MCTS,MiniMax vs MCTS,10
"MiniMax(D=2) vs MCTS(S=50,R=2,D=3)",White,0.1,1,9,0,258.95229975382483,50,2,3,2,MiniMax,MCTS,MiniMax vs MCTS,10
"MiniMax(D=2) vs MCTS(S=50,R=3,D=2)",Black,-0.1,0,9,1,186.06689339592344,50,3,2,2,MiniMax,MCTS,MiniMax vs MCTS,10
"MiniMax(D=2) vs MCTS(S=50,R=3,D=2)",White,0.1,1,9,0,282.15615420114426,50,3,2,2,MiniMax,MCTS,MiniMax vs MCTS,10
"MiniMax(D=2) vs MCTS(S=50,R=3,D=3)",Black,0.0,0,10,0,179.66590563456217,50,3,3,2,MiniMax,MCTS,MiniMax vs MCTS,10
"MiniMax(D=2) vs MCTS(S=50,R=3,D=3)",White,0.0,0,10,0,354.6727005640666,50,3,3,2,MiniMax,MCTS,MiniMax vs MCTS,10
"MiniMax(D=2) vs MCTS(S=70,R=2,D=2)",Black,-0.1,0,9,1,198.7228266398112,70,2,2,2,MiniMax,MCTS,MiniMax vs MCTS,10
"MiniMax(D=2) vs MCTS(S=70,R=2,D=2)",White,0.1,1,9,0,304.61264928181964,70,2,2,2,MiniMax,MCTS,MiniMax vs MCTS,10
"MiniMax(D=2) vs MCTS(S=70,R=2,D=3)",Black,0.0,0,10,0,208.57383569081625,70,2,3,2,MiniMax,MCTS,MiniMax vs MCTS,10
"MiniMax(D=2) vs MCTS(S=70,R=2,D=3)",White,0.0,0,10,0,380.6403462092082,70,2,3,2,MiniMax,MCTS,MiniMax vs MCTS,10
"MiniMax(D=2) vs MCTS(S=70,R=3,D=2)",Black,0.0,0,10,0,198.10787995656332,70,3,2,2,MiniMax,MCTS,MiniMax vs MCTS,10
"MiniMax(D=2) vs MCTS(S=70,R=3,D=2)",White,0.0,0,10,0,401.8189160029093,70,3,2,2,MiniMax,MCTS,MiniMax vs MCTS,10
"MiniMax(D=2) vs MCTS(S=70,R=3,D=3)",Black,0.0,0,10,0,212.04761981964108,70,3,3,2,MiniMax,MCTS,MiniMax vs MCTS,10
"MiniMax(D=2) vs MCTS(S=70,R=3,D=3)",White,0.0,0,10,0,527.6020272572837,70,3,3,2,MiniMax,MCTS,MiniMax vs MCTS,10
