Configuration,Agent Role,Average Reward,Total Wins,Total Draws,Total Losses,Average Time (ms),S,R,D_mcts,D_minimax,agent_1_type,agent_2_type,matchup,Total Games
"MCTS(S=30,R=3,D=3) vs MCTS(S=70,R=3,D=3)",Black,-1.0,0,0,10,213.8792971769969,30,3,3,0,MCTS,MCTS,MCTS vs MCTS,10
"MCTS(S=30,R=3,D=3) vs MCTS(S=70,R=3,D=3)",White,1.0,10,0,0,522.2556908925376,30,3,3,0,MCTS,MCTS,MCTS vs MCTS,10
"MCTS(S=50,R=2,D=2) vs MCTS(S=50,R=2,D=2)",Black,0.0,0,10,0,195.31994660695392,50,2,2,0,MCTS,MCTS,MCTS vs MCTS,10
"MCTS(S=50,R=2,D=2) vs MCTS(S=50,R=2,D=2)",White,0.0,0,10,0,175.81393877665204,50,2,2,0,MCTS,MCTS,MCTS vs MCTS,10
"MCTS(S=50,R=2,D=2) vs MCTS(S=50,R=2,D=3)",Black,0.0,0,10,0,208.26459407806396,50,2,2,0,MCTS,MCTS,MCTS vs MCTS,10
"MCTS(S=50,R=2,D=2) vs MCTS(S=50,R=2,D=3)",White,0.0,0,10,0,248.6199792226156,50,2,2,0,MCTS,MCTS,MCTS vs MCTS,10
"MCTS(S=50,R=2,D=2) vs MCTS(S=50,R=3,D=2)",Black,0.0,0,10,0,205.6459585825602,50,2,2,0,MCTS,MCTS,MCTS vs MCTS,10
"MCTS(S=50,R=2,D=2) vs MCTS(S=50,R=3,D=2)",White,0.0,0,10,0,249.9861415227254,50,2,2,0,MCTS,MCTS,MCTS vs MCTS,10
"MCTS(S=50,R=2,D=2) vs MCTS(S=50,R=3,D=3)",Black,0.0,0,10,0,215.59372425079349,50,2,2,0,MCTS,MCTS,MCTS vs MCTS,10
"MCTS(S=50,R=2,D=2) vs MCTS(S=50,R=3,D=3)",White,0.0,0,10,0,354.2557414372762,50,2,2,0,MCTS,MCTS,MCTS vs MCTS,10
"MCTS(S=50,R=2,D=2) vs MCTS(S=70,R=2,D=2)",Black,0.0,0,10,0,213.8462034861247,50,2,2,0,MCTS,MCTS,MCTS vs MCTS,10
"MCTS(S=50,R=2,D=2) vs MCTS(S=70,R=2,D=2)",White,0.0,0,10,0,279.5768737792969,50,2,2,0,MCTS,MCTS,MCTS vs MCTS,10
"MCTS(S=50,R=2,D=2) vs MCTS(S=70,R=2,D=3)",Black,0.0,0,10,0,187.2140423456828,50,2,2,0,MCTS,MCTS,MCTS vs MCTS,10
"MCTS(S=50,R=2,D=2) vs MCTS(S=70,R=2,D=3)",White,0.0,0,10,0,314.5297288894653,50,2,2,0,MCTS,MCTS,MCTS vs MCTS,10
"MCTS(S=50,R=2,D=2) vs MCTS(S=70,R=3,D=2)",Black,0.0,0,10,0,219.3463706970215,50,2,2,0,MCTS,MCTS,MCTS vs MCTS,10
"MCTS(S=50,R=2,D=2) vs MCTS(S=70,R=3,D=2)",White,0.0,0,10,0,381.2349923451742,50,2,2,0,MCTS,MCTS,MCTS vs MCTS,10
