Configuration,Agent Role,Average Reward,Total Wins,Total Draws,Total Losses,Average Time (ms)
"MCTS(S=30,R=3,D=2) vs MCTS(S=50,R=2,D=2)",Black,-0.5,0,5,5,143.9339052547108
"MCTS(S=30,R=3,D=2) vs MCTS(S=50,R=2,D=2)",White,0.5,5,5,0,187.4612368959369
"MCTS(S=30,R=3,D=2) vs MCTS(S=50,R=2,D=3)",Black,-1.0,0,0,10,140.27986685434976
"MCTS(S=30,R=3,D=2) vs MCTS(S=50,R=2,D=3)",White,1.0,10,0,0,220.53585370381674
"MCTS(S=30,R=3,D=2) vs MCTS(S=50,R=3,D=2)",Black,-0.5,0,5,5,143.50711822509766
"MCTS(S=30,R=3,D=2) vs MCTS(S=50,R=3,D=2)",White,0.5,5,5,0,241.42542188817802
"MCTS(S=30,R=3,D=2) vs MCTS(S=50,R=3,D=3)",Black,-1.0,0,0,10,170.77754179636636
"MCTS(S=30,R=3,D=2) vs MCTS(S=50,R=3,D=3)",White,1.0,10,0,0,358.8259220123291
"MCTS(S=30,R=3,D=2) vs MCTS(S=70,R=2,D=2)",Black,-1.0,0,0,10,196.47570219906893
"MCTS(S=30,R=3,D=2) vs MCTS(S=70,R=2,D=2)",White,1.0,10,0,0,349.8017917979847
"MCTS(S=30,R=3,D=2) vs MCTS(S=70,R=2,D=3)",Black,-1.0,0,0,10,183.71374096189228
"MCTS(S=30,R=3,D=2) vs MCTS(S=70,R=2,D=3)",White,1.0,10,0,0,414.80446713311323
"MCTS(S=30,R=3,D=2) vs MCTS(S=70,R=3,D=2)",Black,-1.0,0,0,10,189.55930774862114
"MCTS(S=30,R=3,D=2) vs MCTS(S=70,R=3,D=2)",White,1.0,10,0,0,446.6909712011164
"MCTS(S=30,R=3,D=2) vs MCTS(S=70,R=3,D=3)",Black,-1.0,0,0,10,157.09457227161948
"MCTS(S=30,R=3,D=2) vs MCTS(S=70,R=3,D=3)",White,1.0,10,0,0,479.41194602421353
"MCTS(S=30,R=3,D=3) vs MCTS(S=30,R=3,D=3)",Black,0.0,0,10,0,192.59037176767984
"MCTS(S=30,R=3,D=3) vs MCTS(S=30,R=3,D=3)",White,0.0,0,10,0,188.90438079833984
"MCTS(S=30,R=3,D=3) vs MCTS(S=50,R=2,D=2)",Black,-1.0,0,0,10,201.87671383221942
"MCTS(S=30,R=3,D=3) vs MCTS(S=50,R=2,D=2)",White,1.0,10,0,0,193.03503433863324
"MCTS(S=30,R=3,D=3) vs MCTS(S=50,R=2,D=3)",Black,0.0,0,10,0,188.9744488398234
"MCTS(S=30,R=3,D=3) vs MCTS(S=50,R=2,D=3)",White,0.0,0,10,0,236.1414686838786
"MCTS(S=30,R=3,D=3) vs MCTS(S=50,R=3,D=2)",Black,-1.0,0,0,10,222.4029918511708
"MCTS(S=30,R=3,D=3) vs MCTS(S=50,R=3,D=2)",White,1.0,10,0,0,288.08431824048364
"MCTS(S=30,R=3,D=3) vs MCTS(S=50,R=3,D=3)",Black,0.0,0,10,0,239.0478674570719
"MCTS(S=30,R=3,D=3) vs MCTS(S=50,R=3,D=3)",White,0.0,0,10,0,397.8876479466756
"MCTS(S=30,R=3,D=3) vs MCTS(S=70,R=2,D=2)",Black,0.0,0,10,0,202.42041905721027
"MCTS(S=30,R=3,D=3) vs MCTS(S=70,R=2,D=2)",White,0.0,0,10,0,263.2360982894898
"MCTS(S=30,R=3,D=3) vs MCTS(S=70,R=2,D=3)",Black,-1.0,0,0,10,190.19847313563025
"MCTS(S=30,R=3,D=3) vs MCTS(S=70,R=2,D=3)",White,1.0,10,0,0,345.87281346321106
"MCTS(S=30,R=3,D=3) vs MCTS(S=70,R=3,D=2)",Black,0.0,0,10,0,180.33623377482098
"MCTS(S=30,R=3,D=3) vs MCTS(S=70,R=3,D=2)",White,0.0,0,10,0,312.30115731557214
"MCTS(S=30,R=3,D=3) vs MCTS(S=70,R=3,D=3)",Black,-1.0,0,0,10,213.87929717699686
"MCTS(S=30,R=3,D=3) vs MCTS(S=70,R=3,D=3)",White,1.0,10,0,0,522.2556908925376
"MCTS(S=50,R=2,D=2) vs MCTS(S=50,R=2,D=2)",Black,0.0,0,10,0,195.31994660695392
"MCTS(S=50,R=2,D=2) vs MCTS(S=50,R=2,D=2)",White,0.0,0,10,0,175.81393877665204
"MCTS(S=50,R=2,D=2) vs MCTS(S=50,R=2,D=3)",Black,0.0,0,10,0,208.26459407806394
"MCTS(S=50,R=2,D=2) vs MCTS(S=50,R=2,D=3)",White,0.0,0,10,0,248.6199792226156
"MCTS(S=50,R=2,D=2) vs MCTS(S=50,R=3,D=2)",Black,0.0,0,10,0,205.6459585825602
"MCTS(S=50,R=2,D=2) vs MCTS(S=50,R=3,D=2)",White,0.0,0,10,0,249.9861415227254
"MCTS(S=50,R=2,D=2) vs MCTS(S=50,R=3,D=3)",Black,0.0,0,10,0,215.59372425079349
"MCTS(S=50,R=2,D=2) vs MCTS(S=50,R=3,D=3)",White,0.0,0,10,0,354.2557414372762
"MCTS(S=50,R=2,D=2) vs MCTS(S=70,R=2,D=2)",Black,0.0,0,10,0,213.84620348612467
"MCTS(S=50,R=2,D=2) vs MCTS(S=70,R=2,D=2)",White,0.0,0,10,0,279.5768737792969
"MCTS(S=50,R=2,D=2) vs MCTS(S=70,R=2,D=3)",Black,0.0,0,10,0,187.2140423456828
"MCTS(S=50,R=2,D=2) vs MCTS(S=70,R=2,D=3)",White,0.0,0,10,0,314.5297288894653
"MCTS(S=50,R=2,D=2) vs MCTS(S=70,R=3,D=2)",Black,0.0,0,10,0,219.3463706970215
"MCTS(S=50,R=2,D=2) vs MCTS(S=70,R=3,D=2)",White,0.0,0,10,0,381.2349923451742
"MCTS(S=50,R=2,D=2) vs MCTS(S=70,R=3,D=3)",Black,0.0,0,10,0,208.4095255533854
"MCTS(S=50,R=2,D=2) vs MCTS(S=70,R=3,D=3)",White,0.0,0,10,0,464.3850946426391
"MCTS(S=50,R=2,D=3) vs MCTS(S=50,R=2,D=3)",Black,0.0,0,10,0,227.92724927266437
"MCTS(S=50,R=2,D=3) vs MCTS(S=50,R=2,D=3)",White,0.0,0,10,0,232.40792592366537
"MCTS(S=50,R=2,D=3) vs MCTS(S=50,R=3,D=2)",Black,0.0,0,10,0,268.86723200480145
"MCTS(S=50,R=2,D=3) vs MCTS(S=50,R=3,D=2)",White,0.0,0,10,0,278.83642832438153
"MCTS(S=50,R=2,D=3) vs MCTS(S=50,R=3,D=3)",Black,0.0,0,10,0,251.94472312927246
"MCTS(S=50,R=2,D=3) vs MCTS(S=50,R=3,D=3)",White,0.0,0,10,0,338.9001735051473
"MCTS(S=50,R=2,D=3) vs MCTS(S=70,R=2,D=2)",Black,0.0,0,10,0,274.6072562535604
"MCTS(S=50,R=2,D=3) vs MCTS(S=70,R=2,D=2)",White,0.0,0,10,0,305.2769486109416
"MCTS(S=50,R=2,D=3) vs MCTS(S=70,R=2,D=3)",Black,0.0,0,10,0,266.893884340922
"MCTS(S=50,R=2,D=3) vs MCTS(S=70,R=2,D=3)",White,0.0,0,10,0,390.4228417078654
