Configuration,Agent Role,Average Reward,Total Wins,Total Draws,Total Losses,Average Time (ms)
"MCTS(S=10,R=3,D=1) vs MiniMax(D=3)",X,-0.68,7,2,41,20.323614915211998
"MCTS(S=10,R=3,D=1) vs MiniMax(D=3)",O,0.68,41,2,7,69.325856367747
"MCTS(S=10,R=3,D=2) vs MiniMax(D=1)",X,1.0,50,0,0,22.279309988021847
"MCTS(S=10,R=3,D=2) vs MiniMax(D=1)",O,-1.0,0,0,50,3.526959816614787
"MCTS(S=10,R=3,D=2) vs MiniMax(D=2)",X,-0.18,5,31,14,18.683857838312786
"MCTS(S=10,R=3,D=2) vs MiniMax(D=2)",O,0.18,14,31,5,13.941157658894857
"MCTS(S=10,R=3,D=2) vs MiniMax(D=3)",X,-0.58,6,9,35,19.19905145963033
"MCTS(S=10,R=3,D=2) vs MiniMax(D=3)",O,0.58,35,9,6,69.4563070933024
"MCTS(S=10,R=3,D=3) vs MiniMax(D=1)",X,1.0,50,0,0,19.455422321955364
"MCTS(S=10,R=3,D=3) vs MiniMax(D=1)",O,-1.0,0,0,50,3.199787537256876
"MCTS(S=10,R=3,D=3) vs MiniMax(D=2)",X,0.08,9,36,5,16.846926927566525
"MCTS(S=10,R=3,D=3) vs MiniMax(D=2)",O,-0.08,5,36,9,13.58660101890564
"MCTS(S=10,R=3,D=3) vs MiniMax(D=3)",X,-0.16,17,8,25,17.938491582870487
"MCTS(S=10,R=3,D=3) vs MiniMax(D=3)",O,0.16,25,8,17,72.61592904726663
"MCTS(S=30,R=1,D=1) vs MiniMax(D=1)",X,1.0,50,0,0,26.351464986801144
"MCTS(S=30,R=1,D=1) vs MiniMax(D=1)",O,-1.0,0,0,50,3.34486722946167
"MCTS(S=30,R=1,D=1) vs MiniMax(D=2)",X,-0.54,1,21,28,25.407542943954468
"MCTS(S=30,R=1,D=1) vs MiniMax(D=2)",O,0.54,28,21,1,13.3894415696462
"MCTS(S=30,R=1,D=1) vs MiniMax(D=3)",X,-0.72,5,4,41,26.94466050465902
"MCTS(S=30,R=1,D=1) vs MiniMax(D=3)",O,0.72,41,4,5,72.10401892662048
"MCTS(S=30,R=1,D=2) vs MiniMax(D=1)",X,1.0,50,0,0,25.92913405100504
"MCTS(S=30,R=1,D=2) vs MiniMax(D=1)",O,-1.0,0,0,50,3.4714261690775556
"MCTS(S=30,R=1,D=2) vs MiniMax(D=2)",X,-0.2,4,32,14,25.146190166473392
"MCTS(S=30,R=1,D=2) vs MiniMax(D=2)",O,0.2,14,32,4,14.832120736440025
"MCTS(S=30,R=1,D=2) vs MiniMax(D=3)",X,-0.44,10,8,32,24.429578304290775
"MCTS(S=30,R=1,D=2) vs MiniMax(D=3)",O,0.44,32,8,10,67.92147080103557
"MCTS(S=30,R=1,D=3) vs MiniMax(D=1)",X,1.0,50,0,0,23.470411698023476
"MCTS(S=30,R=1,D=3) vs MiniMax(D=1)",O,-1.0,0,0,50,3.376746575037638
"MCTS(S=30,R=1,D=3) vs MiniMax(D=2)",X,0.04,15,22,13,21.334845701853432
"MCTS(S=30,R=1,D=3) vs MiniMax(D=2)",O,-0.04,13,22,15,14.059685866038002
"MCTS(S=30,R=1,D=3) vs MiniMax(D=3)",X,0.1,23,9,18,21.7501544157664
"MCTS(S=30,R=1,D=3) vs MiniMax(D=3)",O,-0.1,18,9,23,69.81775522232054
"MCTS(S=30,R=2,D=1) vs MiniMax(D=1)",X,1.0,50,0,0,42.38027850786844
"MCTS(S=30,R=2,D=1) vs MiniMax(D=1)",O,-1.0,0,0,50,3.2495991388956704
"MCTS(S=30,R=2,D=1) vs MiniMax(D=2)",X,-0.56,0,22,28,38.340189933776855
"MCTS(S=30,R=2,D=1) vs MiniMax(D=2)",O,0.56,28,22,0,12.914814949035645
"MCTS(S=30,R=2,D=1) vs MiniMax(D=3)",X,-0.7,5,5,40,40.616905291875206
"MCTS(S=30,R=2,D=1) vs MiniMax(D=3)",O,0.7,40,5,5,69.52762126922607
"MCTS(S=30,R=2,D=2) vs MiniMax(D=1)",X,1.0,50,0,0,40.348802725474044
"MCTS(S=30,R=2,D=2) vs MiniMax(D=1)",O,-1.0,0,0,50,3.1867674986521406
"MCTS(S=30,R=2,D=2) vs MiniMax(D=2)",X,-0.24,1,36,13,35.801039695739746
"MCTS(S=30,R=2,D=2) vs MiniMax(D=2)",O,0.24,13,36,1,12.671677271525066
"MCTS(S=30,R=2,D=2) vs MiniMax(D=3)",X,-0.46,10,7,33,39.01528318723042
"MCTS(S=30,R=2,D=2) vs MiniMax(D=3)",O,0.46,33,7,10,72.37510879834493
