Configuration,Agent Role,Average Reward,Total Wins,Total Draws,Total Losses,Average Time (ms)
"MCTS(S=10,R=3,D=3) vs MiniMax(D=2)",O,0.34,18,31,1,13.410311142603556
"MCTS(S=10,R=3,D=3) vs MiniMax(D=3)",X,-0.32,7,20,23,15.470293998718263
"MCTS(S=10,R=3,D=3) vs MiniMax(D=3)",O,0.32,23,20,7,56.68168385823568
"MCTS(S=30,R=1,D=1) vs MiniMax(D=1)",X,0.84,45,2,3,21.4963968594869
"MCTS(S=30,R=1,D=1) vs MiniMax(D=1)",O,-0.84,3,2,45,2.4066921075185137
"MCTS(S=30,R=1,D=1) vs MiniMax(D=2)",X,-0.72,0,14,36,21.135107199350994
"MCTS(S=30,R=1,D=1) vs MiniMax(D=2)",O,0.72,36,14,0,12.7612046400706
"MCTS(S=30,R=1,D=1) vs MiniMax(D=3)",X,-0.34,10,13,27,21.001399437586468
"MCTS(S=30,R=1,D=1) vs MiniMax(D=3)",O,0.34,27,13,10,59.78110472361247
"MCTS(S=30,R=1,D=2) vs MiniMax(D=1)",X,0.54,32,13,5,21.258248329162598
"MCTS(S=30,R=1,D=2) vs MiniMax(D=1)",O,-0.54,5,13,32,2.3386677106221514
"MCTS(S=30,R=1,D=2) vs MiniMax(D=2)",X,-0.6,0,20,30,21.716477394104
"MCTS(S=30,R=1,D=2) vs MiniMax(D=2)",O,0.6,30,20,0,12.37170139948527
"MCTS(S=30,R=1,D=2) vs MiniMax(D=3)",X,-0.32,11,12,27,20.592154900232952
"MCTS(S=30,R=1,D=2) vs MiniMax(D=3)",O,0.32,27,12,11,57.46845324834188
"MCTS(S=30,R=1,D=3) vs MiniMax(D=1)",X,0.44,34,4,12,21.320071458816525
"MCTS(S=30,R=1,D=3) vs MiniMax(D=1)",O,-0.44,12,4,34,2.2074329853057857
"MCTS(S=30,R=1,D=3) vs MiniMax(D=2)",X,-0.56,2,18,30,20.98008370399475
"MCTS(S=30,R=1,D=3) vs MiniMax(D=2)",O,0.56,30,18,2,12.016196250915527
"MCTS(S=30,R=1,D=3) vs MiniMax(D=3)",X,-0.44,5,18,27,20.125855922698978
"MCTS(S=30,R=1,D=3) vs MiniMax(D=3)",O,0.44,27,18,5,56.6846497853597
"MCTS(S=30,R=2,D=1) vs MiniMax(D=1)",X,0.78,42,5,3,34.918825467427574
"MCTS(S=30,R=2,D=1) vs MiniMax(D=1)",O,-0.78,3,5,42,2.4947512149810787
"MCTS(S=30,R=2,D=1) vs MiniMax(D=2)",X,-0.48,0,26,24,32.73279213905335
"MCTS(S=30,R=2,D=1) vs MiniMax(D=2)",O,0.48,24,26,0,11.063840389251709
"MCTS(S=30,R=2,D=1) vs MiniMax(D=3)",X,0.18,20,19,11,32.8229128519694
"MCTS(S=30,R=2,D=1) vs MiniMax(D=3)",O,-0.18,11,19,20,57.03224738438924
"MCTS(S=30,R=2,D=2) vs MiniMax(D=1)",X,0.76,41,6,3,34.67657407124837
"MCTS(S=30,R=2,D=2) vs MiniMax(D=1)",O,-0.76,3,6,41,2.371853987375895
"MCTS(S=30,R=2,D=2) vs MiniMax(D=2)",X,-0.58,1,19,30,37.95021446545919
"MCTS(S=30,R=2,D=2) vs MiniMax(D=2)",O,0.58,30,19,1,14.293640851974489
"MCTS(S=30,R=2,D=2) vs MiniMax(D=3)",X,-0.22,12,15,23,37.885990063349404
"MCTS(S=30,R=2,D=2) vs MiniMax(D=3)",O,0.22,23,15,12,69.23059105873108
"MCTS(S=30,R=2,D=3) vs MiniMax(D=1)",X,0.66,37,9,4,38.09691341718038
"MCTS(S=30,R=2,D=3) vs MiniMax(D=1)",O,-0.66,4,9,37,2.5764135519663496
"MCTS(S=30,R=2,D=3) vs MiniMax(D=2)",X,-0.42,4,21,25,34.67497746149699
"MCTS(S=30,R=2,D=3) vs MiniMax(D=2)",O,0.42,25,21,4,12.761060794194542
"MCTS(S=30,R=2,D=3) vs MiniMax(D=3)",X,-0.22,8,23,19,37.33741958936056
"MCTS(S=30,R=2,D=3) vs MiniMax(D=3)",O,0.22,19,23,8,67.59012063344319
"MCTS(S=30,R=3,D=1) vs MiniMax(D=1)",X,0.72,42,2,6,56.41264764467875
"MCTS(S=30,R=3,D=1) vs MiniMax(D=1)",O,-0.72,6,2,42,2.9704654216766357
"MCTS(S=30,R=3,D=1) vs MiniMax(D=2)",X,-0.44,0,28,22,45.485536575317376
"MCTS(S=30,R=3,D=1) vs MiniMax(D=2)",O,0.44,22,28,0,11.604329347610474
"MCTS(S=30,R=3,D=1) vs MiniMax(D=3)",X,0.08,20,14,16,51.44920229911804
"MCTS(S=30,R=3,D=1) vs MiniMax(D=3)",O,-0.08,16,14,20,67.68294970194499
"MCTS(S=30,R=3,D=2) vs MiniMax(D=1)",X,0.82,44,3,3,51.417507410049446
"MCTS(S=30,R=3,D=2) vs MiniMax(D=1)",O,-0.82,3,3,44,2.4851918220520024
"MCTS(S=30,R=3,D=2) vs MiniMax(D=2)",X,-0.36,0,32,18,45.51092274983724
"MCTS(S=30,R=3,D=2) vs MiniMax(D=2)",O,0.36,18,32,0,11.737660964330036
"MCTS(S=30,R=3,D=2) vs MiniMax(D=3)",X,0.18,20,19,11,46.371588548024484
"MCTS(S=30,R=3,D=2) vs MiniMax(D=3)",O,-0.18,11,19,20,58.3897598584493
"MCTS(S=30,R=3,D=3) vs MiniMax(D=1)",X,0.78,42,5,3,50.24091887474061
"MCTS(S=30,R=3,D=3) vs MiniMax(D=1)",O,-0.78,3,5,42,2.6224664847056074
"MCTS(S=30,R=3,D=3) vs MiniMax(D=2)",X,-0.22,5,29,16,47.87133757273356
"MCTS(S=30,R=3,D=3) vs MiniMax(D=2)",O,0.22,16,29,5,12.785998185475666
"MCTS(S=30,R=3,D=3) vs MiniMax(D=3)",X,-0.28,3,30,17,51.122175534566246
"MCTS(S=30,R=3,D=3) vs MiniMax(D=3)",O,0.28,17,30,3,62.691441377004
"MCTS(S=50,R=1,D=1) vs MiniMax(D=1)",X,0.76,42,4,4,42.37471278508503
"MCTS(S=50,R=1,D=1) vs MiniMax(D=1)",O,-0.76,4,4,42,2.8178330262502036
"MCTS(S=50,R=1,D=1) vs MiniMax(D=2)",X,-0.54,0,23,27,39.47543899218241
"MCTS(S=50,R=1,D=1) vs MiniMax(D=2)",O,0.54,27,23,0,13.320048650105793
"MCTS(S=50,R=1,D=1) vs MiniMax(D=3)",X,-0.1,17,11,22,39.1073461373647
"MCTS(S=50,R=1,D=1) vs MiniMax(D=3)",O,0.1,22,11,17,67.9730761051178
"MCTS(S=50,R=1,D=2) vs MiniMax(D=1)",X,0.7,38,9,3,39.28751373291015
"MCTS(S=50,R=1,D=2) vs MiniMax(D=1)",O,-0.7,3,9,38,2.658983866373698
"MCTS(S=50,R=1,D=2) vs MiniMax(D=2)",X,-0.66,0,17,33,40.135554154713944
"MCTS(S=50,R=1,D=2) vs MiniMax(D=2)",O,0.66,33,17,0,14.207704861958824
"MCTS(S=50,R=1,D=2) vs MiniMax(D=3)",X,-0.12,13,18,19,33.12085970242818
"MCTS(S=50,R=1,D=2) vs MiniMax(D=3)",O,0.12,19,18,13,55.916005770365395
"MCTS(S=50,R=1,D=3) vs MiniMax(D=1)",X,0.32,29,8,13,41.59189915657044
"MCTS(S=50,R=1,D=3) vs MiniMax(D=1)",O,-0.32,13,8,29,2.519552310307821
"MCTS(S=50,R=1,D=3) vs MiniMax(D=2)",X,-0.52,2,20,28,38.642095486323036
"MCTS(S=50,R=1,D=3) vs MiniMax(D=2)",O,0.52,28,20,2,14.204469919204712
"MCTS(S=50,R=1,D=3) vs MiniMax(D=3)",X,-0.54,2,19,29,32.41940077145894
"MCTS(S=50,R=1,D=3) vs MiniMax(D=3)",O,0.54,29,19,2,55.58818181355794
"MCTS(S=50,R=2,D=1) vs MiniMax(D=1)",X,0.72,40,6,4,55.006938457489014
"MCTS(S=50,R=2,D=1) vs MiniMax(D=1)",O,-0.72,4,6,40,2.170029083887736
"MCTS(S=50,R=2,D=1) vs MiniMax(D=2)",X,-0.48,0,26,24,54.67766014734904
"MCTS(S=50,R=2,D=1) vs MiniMax(D=2)",O,0.48,24,26,0,11.991087198257446
"MCTS(S=50,R=2,D=1) vs MiniMax(D=3)",X,0.14,22,13,15,58.23150610923767
"MCTS(S=50,R=2,D=1) vs MiniMax(D=3)",O,-0.14,15,13,22,62.404834032058716
"MCTS(S=50,R=2,D=2) vs MiniMax(D=1)",X,0.76,42,4,4,61.120838642120354
"MCTS(S=50,R=2,D=2) vs MiniMax(D=1)",O,-0.76,4,4,42,2.5706807772318525
"MCTS(S=50,R=2,D=2) vs MiniMax(D=2)",X,-0.4,0,30,20,54.71878639856974
"MCTS(S=50,R=2,D=2) vs MiniMax(D=2)",O,0.4,20,30,0,12.224974234898884
"MCTS(S=50,R=2,D=2) vs MiniMax(D=3)",X,-0.08,17,12,21,57.75873891512553
"MCTS(S=50,R=2,D=2) vs MiniMax(D=3)",O,0.08,21,12,17,61.17703159650168
"MCTS(S=50,R=2,D=3) vs MiniMax(D=1)",X,0.62,38,5,7,58.14947056770325
"MCTS(S=50,R=2,D=3) vs MiniMax(D=1)",O,-0.62,7,5,38,2.607611815134684
"MCTS(S=50,R=2,D=3) vs MiniMax(D=2)",X,-0.34,1,31,18,54.830529928207405
"MCTS(S=50,R=2,D=3) vs MiniMax(D=2)",O,0.34,18,31,1,12.032124598821005
"MCTS(S=50,R=2,D=3) vs MiniMax(D=3)",X,-0.34,7,19,24,57.184961557388306
"MCTS(S=50,R=2,D=3) vs MiniMax(D=3)",O,0.34,24,19,7,66.93314750989279
"MCTS(S=50,R=3,D=1) vs MiniMax(D=1)",X,0.84,44,4,2,70.47439606984457
"MCTS(S=50,R=3,D=1) vs MiniMax(D=1)",O,-0.84,2,4,44,2.314391533533732
"MCTS(S=50,R=3,D=1) vs MiniMax(D=2)",X,-0.5,0,25,25,70.99967455863953
"MCTS(S=50,R=3,D=1) vs MiniMax(D=2)",O,0.5,25,25,0,11.199863751729328
"MCTS(S=50,R=3,D=1) vs MiniMax(D=3)",X,0.08,19,16,15,67.57451303799948
"MCTS(S=50,R=3,D=1) vs MiniMax(D=3)",O,-0.08,15,16,19,54.51459924379984
"MCTS(S=50,R=3,D=2) vs MiniMax(D=1)",X,0.72,41,4,5,71.38383253415424
"MCTS(S=50,R=3,D=2) vs MiniMax(D=1)",O,-0.72,5,4,41,2.2330939769744873
"MCTS(S=50,R=3,D=2) vs MiniMax(D=2)",X,-0.44,0,28,22,65.04014619191487
"MCTS(S=50,R=3,D=2) vs MiniMax(D=2)",O,0.44,22,28,0,10.430819590886433
"MCTS(S=50,R=3,D=2) vs MiniMax(D=3)",X,0.08,12,30,8,64.50041786829631
"MCTS(S=50,R=3,D=2) vs MiniMax(D=3)",O,-0.08,8,30,12,51.078522602717086
"MCTS(S=50,R=3,D=3) vs MiniMax(D=1)",X,0.82,45,1,4,75.49927067756653
"MCTS(S=50,R=3,D=3) vs MiniMax(D=1)",O,-0.82,4,1,45,2.436032295227051
"MCTS(S=50,R=3,D=3) vs MiniMax(D=2)",X,-0.26,1,35,14,60.90077320734659
"MCTS(S=50,R=3,D=3) vs MiniMax(D=2)",O,0.26,14,35,1,10.509203275044758
"MCTS(S=50,R=3,D=3) vs MiniMax(D=3)",X,-0.2,5,30,15,66.32577729225159
"MCTS(S=50,R=3,D=3) vs MiniMax(D=3)",O,0.2,15,30,5,52.93427546819051
"MiniMax(D=1) vs MCTS(S=10,R=1,D=1)",X,0.3,30,5,15,2.3187112013498945
"MiniMax(D=1) vs MCTS(S=10,R=1,D=1)",O,-0.3,15,5,30,7.4600330988566075
"MiniMax(D=1) vs MCTS(S=10,R=1,D=2)",X,0.56,34,10,6,2.259744167327881
"MiniMax(D=1) vs MCTS(S=10,R=1,D=2)",O,-0.56,6,10,34,7.921660741170247
"MiniMax(D=1) vs MCTS(S=10,R=1,D=3)",X,0.32,30,6,14,2.2737510204315186
